ticket_id,customer_id,ticket_text,product,created_at,previous_tickets,resolution_time,priority,category,resolved
RGT-002742,CUST-F262F08C,Permanent ban issued on my account. I have 3000 hours on this game and have never violated ToS. Please help.,League of Legends,2023-11-10 08:30:47,3.0,49.91,MEDIUM,Account Ban / Suspension,True
RGT-001308,CUST-2A231E0F,I keep getting matched against the same scripter. Already reported in-game but they are still playing.,Legends of Runeterra,2023-05-29 19:20:43,3.0,41.9,MEDIUM,Cheat / Hacker Report,True
RGT-001602,CUST-EE2171F9,Constant 'Connection Error' messages in client even though my internet is working perfectly.,Valorant,2023-07-31 05:23:28,2.0,320.12,LOW,Client Bug / Crash,True
RGT-002622,CUST-D862ABB7,"Hello, my account was flagged and restricted. I believe this is a false positive from your anti-cheat. I need an appeal.",Wild Rift,2024-06-18 07:57:38,3.0,10.71,MEDIUM,Account Ban / Suspension,True
RGT-002030,CUST-C7E0960A,I keep getting matched against the same scripter. Already reported in-game but they are still playing.,League of Legends,2024-04-25 23:34:43,21.0,2.17,MEDIUM,Cheat / Hacker Report,True
RGT-001951,CUST-4375BF79,Transaction stuck as 'pending' for 48 hours. My bank confirmed the charge went through. Please help.,Legends of Runeterra,2023-05-19 07:51:16,5.0,,LOW,Missing RP / Purchase Issue,False
RGT-002719,CUST-12B61267,This player admitted to using scripts in chat. I have a screenshot. How do I submit it?,Valorant,2024-02-13 23:55:55,5.0,82.25,MEDIUM,Cheat / Hacker Report,True
RGT-000185,CUST-022A5689,There is a blatant scripter in my ranked game. They had 0ms reaction time and perfect skill shots all game.,Legends of Runeterra,2023-02-26 16:39:59,0.0,,MEDIUM,Cheat / Hacker Report,False
RGT-002401,CUST-59C64C72,"Bought a bundle in the store, got charged but the content never appeared in my collection.",League of Legends,2023-09-05 07:47:58,6.0,,HIGH,Missing RP / Purchase Issue,False
RGT-000195,CUST-80CA3A15,Account recovery is not working. I no longer have access to the email or phone number on record.,Teamfight Tactics,2024-05-29 12:50:59,0.0,79.93,MEDIUM,Login / 2FA Issue,True
RGT-002799,CUST-5C8E2E99,My clash tournament registration was cancelled without notification. Please refund the ticket fee.,Teamfight Tactics,2023-03-23 07:00:03,27.0,27.31,LOW,Ranked & Matchmaking,True
RGT-001196,CUST-7A4D8589,"My MMR seems stuck. I win 8 games in a row and gain 18 LP, then lose once and drop 25 LP.",League of Legends,2024-06-19 23:04:47,2.0,,HIGH,Ranked & Matchmaking,False
RGT-001407,CUST-022A5689,,Valorant,not-a-date,4.0,,MEDIUM,Login / 2FA Issue,False
RGT-000315,CUST-942B891D,My account RiotUser#91229 was permanently banned but I never cheated. Please review the ban.,Wild Rift,2024-02-12 01:22:06,1.0,27.59,MEDIUM,Account Ban / Suspension,True
RGT-000103,CUST-9E25788D,Permanent ban issued on my account. I have 3000 hours on this game and have never violated ToS. Please help.,Legends of Runeterra,2023-09-15 19:31:28,0.0,22.98,LOW,Account Ban / Suspension,True
RGT-001438,CUST-84591BE0,I was charged twice for the same RP bundle. I see two transactions on my statement for $35.00.,Wild Rift,2023-05-19 18:46:58,,44.89,LOW,Missing RP / Purchase Issue,True
RGT-002960,CUST-36E19637,My account RiotUser#80158 was permanently banned but I never cheated. Please review the ban.,Teamfight Tactics,2023-01-17 01:50:19,2.0,25.95,LOW,Account Ban / Suspension,True
RGT-001222,CUST-5948519D,The new Ahri skin has a visual glitch where her tails disappear during her ultimate animation.,Valorant,2024-06-19 13:39:54,0.0,,LOW,Champion / Skin Bug,False
RGT-002936,CUST-10C54846,My account RiotUser#75078 was permanently banned but I never cheated. Please review the ban.,Wild Rift,2023-02-26 16:31:09,4.0,20.22,LOW,Account Ban / Suspension,True
RGT-000706,CUST-0A0639F6,Account banned with no explanation. I spent over $500 on this account. Please look into this immediately.,Legends of Runeterra,2023-01-08 19:20:20,0.0,,HIGH,Account Ban / Suspension,False
RGT-002235,CUST-5EC9CA7E,I lost LP for a loss that was not my fault. My teammates went AFK in the first 5 minutes.,Valorant,2023-02-18 04:51:43,3.0,10.02,HIGH,Ranked & Matchmaking,True
RGT-001974,CUST-1962F4A0,I received a 14-day suspension for allegedly using scripts. I have never used any third-party software. Please investigate.,Wild Rift,2023-10-21 13:01:21,5.0,,MEDIUM,Account Ban / Suspension,False
RGT-001518,CUST-64D40638,The game client crashes every time I enter champion select. I reinstalled but the problem persists.,Teamfight Tactics,2023-04-13 08:42:27,2.0,32.82,MEDIUM,Client Bug / Crash,True
RGT-002977,CUST-5B1640FC,"Hello, my account was flagged and restricted. I believe this is a false positive from your anti-cheat. I need an appeal.",League of Legends,2023-10-09 09:54:29,5.0,3.25,MEDIUM,Account Ban / Suspension,True
RGT-002233,CUST-AB648898,"Hello, my account was flagged and restricted. I believe this is a false positive from your anti-cheat. I need an appeal.",Wild Rift,2023-08-11 08:52:34,3.0,44.22,MEDIUM,Account Ban / Suspension,True
RGT-000179,CUST-8B088BAB,"My smurf account was banned, now my main account is also restricted. I do not understand what happened.",Wild Rift,2023-03-06 00:25:48,0.0,33.48,LOW,Account Ban / Suspension,True
RGT-002031,CUST-0509293C,Cheater ruined 3 games in a row. Your reporting system seems broken. They are still not banned.,League of Legends,2023-10-23 00:50:43,1.0,81.46,LOW,Cheat / Hacker Report,True
RGT-002927,CUST-023FE7E6,"Purchased RP via prepaid card, entered the code but nothing was credited. Code: RITO-CB2CD1.",Valorant,2023-05-13 08:14:44,35.0,3.57,LOW,Missing RP / Purchase Issue,True
RGT-000612,CUST-2D5422EC,My Pulsefire Ezreal skin's recall animation is broken. It just shows the default animation instead.,Legends of Runeterra,2023-06-20 07:40:04,0.0,31.47,MEDIUM,Champion / Skin Bug,True
RGT-000680,CUST-8389315E,Constant 'Connection Error' messages in client even though my internet is working perfectly.,Wild Rift,2023-08-29 06:12:15,1.0,,MEDIUM,Client Bug / Crash,False
RGT-000153,CUST-BC359A86,Got a chat ban that escalated to a full account suspension. The context was taken out of context. I want to appeal.,League of Legends,2023-10-30 06:24:17,0.0,,LOW,Account Ban / Suspension,False
RGT-002485,CUST-447B0161,Permanent ban issued on my account. I have 3000 hours on this game and have never violated ToS. Please help.,Valorant,2024-02-04 08:26:29,5.0,35.22,MEDIUM,Account Ban / Suspension,True
RGT-001026,CUST-49AFD844,Bought the wrong skin. I meant to buy the Prestige version but bought the regular one. Can you swap it?,Legends of Runeterra,2023-06-30 01:04:23,3.0,,MEDIUM,Refund Request,False
